epoch,accuracy,loss,val_accuracy,val_loss
0,0.28964972496032715,3.413785219192505,0.6842758059501648,1.7364226579666138
1,0.6274629235267639,1.6096454858779907,0.7609127163887024,0.9899095296859741
2,0.6884577870368958,1.185182809829712,0.7797619104385376,0.8099712133407593
3,0.7115665078163147,1.0499169826507568,0.7904266119003296,0.7387231588363647
4,0.7274385690689087,0.9640020728111267,0.7936508059501648,0.7033275961875916
5,0.730296790599823,0.9308420419692993,0.7938988208770752,0.6912558674812317
6,0.7404524683952332,0.8879910707473755,0.7988591194152832,0.6775838732719421
7,0.744709312915802,0.8734605312347412,0.80307537317276,0.6625611782073975
8,0.7512770891189575,0.8430638909339905,0.804315447807312,0.6632931232452393
9,0.7558988332748413,0.8225887417793274,0.804315447807312,0.6540177464485168
10,0.7584529519081116,0.8132858276367188,0.80307537317276,0.6557928323745728
11,0.7614327669143677,0.7997713088989258,0.8045634627342224,0.6511608362197876
12,0.7651423215866089,0.7883001565933228,0.8097718358039856,0.6440376043319702
13,0.7694599628448486,0.7698153853416443,0.8040674328804016,0.6413967609405518
14,0.7684869766235352,0.7629889249801636,0.8082837462425232,0.650232195854187
15,0.7739601135253906,0.7466892600059509,0.807539701461792,0.6406920552253723
16,0.7751763463020325,0.763767659664154,0.8085317611694336,0.6413407325744629
